indicator_id,metodology
cn22_pop04_res_tot_kmtot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop04_res_tot_kmtot_2/metadata.md
cn22_pop01_res_cor_ama_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ama_2/metadata.md
cn22_pop01_res_cor_bra_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_bra_2/metadata.md
cn22_pop01_res_cor_ind_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_ind_2/metadata.md
cn22_pop01_res_cor_neg_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_cor_neg_2/metadata.md
cn22_pop01_res_sex_f_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_sex_f_2/metadata.md
cn22_pop01_res_sex_m_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop01_res_sex_m_2/metadata.md
cn22_pop03_0a4_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop03_0a4_tot_2/metadata.md
cn22_pop03_5a9_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop03_5a9_tot_2/metadata.md
cn22_pop03_10a14_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop03_10a14_tot_2/metadata.md
cn22_pop03_15a19_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop03_15a19_tot_2/metadata.md
cn22_pop03_20a59_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop03_20a59_tot_2/metadata.md
cn22_pop03_m60_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop03_m60_tot_2/metadata.md
cn22_pop04_res_tot_kmdom_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop04_res_tot_kmdom_2/metadata.md
cn22_dom01_ocu_tot_1,https://georedus.github.io/metadata/cem/cn22/cn22_dom01_ocu_tot_1/metadata.md
cn22_dom02_dppo_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_dom02_dppo_tot_2/metadata.md
cn22_dom02_dpio_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_dom02_dpio_tot_2/metadata.md
cn22_dom03_apt_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_dom03_apt_tot_2/metadata.md
cn22_dom03_cas_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_dom03_cas_tot_2/metadata.md
cn22_dom03_6mor_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_dom03_6mor_tot_2/metadata.md
cn22_pop04_res_dom_med_0,https://georedus.github.io/metadata/cem/cn22/cn22_pop04_res_dom_med_0/metadata.md
cn22_inf02_sarb_tot_dom_2,https://georedus.github.io/metadata/cem/cn22/cn22_inf02_sarb_tot_dom_2/metadata.md
cn22_inf01_scal_tot_dom_2,https://georedus.github.io/metadata/cem/cn22/cn22_inf01_scal_tot_dom_2/metadata.md
cn22_inf01_silu_tot_dom_2,https://georedus.github.io/metadata/cem/cn22/cn22_inf01_silu_tot_dom_2/metadata.md
cn22_ser02_sagu_tot_dom_2,https://georedus.github.io/metadata/cem/cn22/cn22_ser02_sagu_tot_dom_2/metadata.md
cn22_ser02_sesg_tot_dom_2,https://georedus.github.io/metadata/cem/cn22/cn22_ser02_sesg_tot_dom_2/metadata.md
cn22_ser01_slix_tot_dom_2,https://georedus.github.io/metadata/cem/cn22/cn22_ser01_slix_tot_dom_2/metadata.md
cn22_pop05_rsp_tot_0,https://georedus.github.io/metadata/cem/cn22/cn22_pop05_rsp_tot_0/metadata.md
cn22_pop06_alf2_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop06_alf2_tot_2/metadata.md
cn22_pop06_alf3_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop06_alf3_tot_2/metadata.md
cn22_pop06_alf4_tot_2,https://georedus.github.io/metadata/cem/cn22/cn22_pop06_alf4_tot_2/metadata.md
